pos,athlete,country,points,data_type,100,lj,sp,hj,400,110h,dt,pv,jt,1500,event_id,event_name
1,Tomáš Dvořák,CZE,8902 CR,Mark,10.62,8.07,16.57,2.00,47.74,13.80,45.51,5.00,68.53,4:35.13,6947294,wa_2001
2,Erki Nool,EST,8815 NR,Mark,10.60,7.63,14.90,2.03,46.23,14.40,43.40,5.40,67.01,4:29.58,6947294,wa_2001
3,Dean Macey,GBR,8603 PB,Mark,10.72,7.59,15.41,2.15,46.21,14.34,46.96,4.70,54.61,4:29.05,6947294,wa_2001
4,Attila Zsivoczky-Pandel,HUN,8371 SB,Mark,10.97,6.99,14.65,2.18,48.86,15.19,47.23,4.90,62.43,4:23.23,6947294,wa_2001
5,Lev Lobodin,RUS,8352,Mark,10.74,7.15,16.16,2.03,48.78,14.42,44.95,5.10,54.68,4:31.77,6947294,wa_2001
6,Jiří Ryba,CZE,8332 SB,Mark,11.14,7.17,13.76,2.09,48.76,14.33,47.40,5.10,56.04,4:20.66,6947294,wa_2001
7,Stefan Schmid,GER,8307 SB,Mark,10.87,7.43,13.55,1.97,47.86,14.57,43.16,5.10,65.13,4:33.98,6947294,wa_2001
8,Laurent Hernu,FRA,8280 PB,Mark,10.97,7.31,14.43,2.03,49.31,14.01,43.93,5.10,59.90,4:37.41,6947294,wa_2001
9,Oleksandr Yurkov,UKR,8264,Mark,10.93,7.37,15.15,1.97,49.45,14.41,48.10,5.00,58.63,4:38.43,6947294,wa_2001
10,Roman Šebrle,CZE,8174,Mark,10.91,7.67,15.43,2.00,48.18,16.97,47.41,4.60,65.75,4:31.04,6947294,wa_2001
11,Michael Nolan,CAN,8169 PB,Mark,11.29,6.98,15.17,1.97,49.86,14.86,50.30,4.90,64.57,4:31.44,6947294,wa_2001
12,Mário Aníbal,POR,8155,Mark,10.84,7.11,15.35,2.00,48.46,14.45,44.22,5.00,53.23,4:36.64,6947294,wa_2001
13,Zsolt Kürtösi,HUN,8097,Mark,11.03,7.17,15.34,2.06,48.68,14.50,45.20,4.70,58.87,4:49.61,6947294,wa_2001
14,Benjamin Jensen,NOR,8090 SB,Mark,10.79,7.08,14.47,1.88,48.27,14.22,39.89,5.30,56.51,4:36.45,6947294,wa_2001
