,pos,athlete,country,points,data_type,100,lj,sp,hj,400,110h,dt,pv,jt,1500,event_id,event_name,1500_sec,100_speed,110h_speed,400_speed,1500_speed
0,1.0,Tomáš Dvořák,CZE,8902 CR,Mark,10.62,8.07,16.57,2.0,47.74,13.8,45.51,5.0,68.53,4:35.13,6947294.0,wa_2001,275.13,9.416195856873824,7.971014492753623,8.37871805613741,5.451968160505943
1,2.0,Erki Nool,EST,8815 NR,Mark,10.6,7.63,14.9,2.03,46.23,14.4,43.4,5.4,67.01,4:29.58,6947294.0,wa_2001,269.58,9.433962264150944,7.638888888888888,8.652390222799049,5.564210994880926
2,3.0,Dean Macey,GBR,8603 PB,Mark,10.72,7.59,15.41,2.15,46.21,14.34,46.96,4.7,54.61,4:29.05,6947294.0,wa_2001,269.05,9.328358208955223,7.670850767085077,8.656135035706557,5.5751719011336185
3,4.0,Attila Zsivoczky-Pandel,HUN,8371 SB,Mark,10.97,6.99,14.65,2.18,48.86,15.19,47.23,4.9,62.43,4:23.23,6947294.0,wa_2001,263.23,9.115770282588878,7.241606319947334,8.186655751125665,5.698438627815978
4,5.0,Lev Lobodin,RUS,8352,Mark,10.74,7.15,16.16,2.03,48.78,14.42,44.95,5.1,54.68,4:31.77,6947294.0,wa_2001,271.77,9.31098696461825,7.6282940360610265,8.200082000820007,5.519372999227288
5,6.0,Jiří Ryba,CZE,8332 SB,Mark,11.14,7.17,13.76,2.09,48.76,14.33,47.4,5.1,56.04,4:20.66,6947294.0,wa_2001,260.66,8.976660682226212,7.676203768318214,8.203445447087777,5.7546228803805715
6,7.0,Stefan Schmid,GER,8307 SB,Mark,10.87,7.43,13.55,1.97,47.86,14.57,43.16,5.1,65.13,4:33.98,6947294.0,wa_2001,273.98,9.199632014719413,7.549759780370624,8.357709987463435,5.474852178991167
7,8.0,Laurent Hernu,FRA,8280 PB,Mark,10.97,7.31,14.43,2.03,49.31,14.01,43.93,5.1,59.9,4:37.41,6947294.0,wa_2001,277.40999999999997,9.115770282588878,7.851534618129907,8.111944838775097,5.407159078620094
8,9.0,Oleksandr Yurkov,UKR,8264,Mark,10.93,7.37,15.15,1.97,49.45,14.41,48.1,5.0,58.63,4:38.43,6947294.0,wa_2001,278.43,9.149130832570906,7.633587786259542,8.088978766430738,5.3873505010235965
9,10.0,Roman Šebrle,CZE,8174,Mark,10.91,7.67,15.43,2.0,48.18,16.97,47.41,4.6,65.75,4:31.04,6947294.0,wa_2001,271.04,9.165902841429881,6.48202710665881,8.302200083022,5.534238488783943
10,11.0,Michael Nolan,CAN,8169 PB,Mark,11.29,6.98,15.17,1.97,49.86,14.86,50.3,4.9,64.57,4:31.44,6947294.0,wa_2001,271.44,8.857395925597874,7.402422611036339,8.022462896109106,5.526083112290009
11,12.0,Mário Aníbal,POR,8155,Mark,10.84,7.11,15.35,2.0,48.46,14.45,44.22,5.0,53.23,4:36.64,6947294.0,wa_2001,276.64,9.22509225092251,7.612456747404845,8.254230293025175,5.422209369577791
