MEETING NAME,VENUE,COUNTRY,DATE,date_start,date_end,year,event_id
"World Athletics Championships, Budapest 2023",Budapest,HUN,19 AUG 2023 - 27 AUG 2023,19 AUG 2023,27 AUG 2023,2023,7138987
"World Athletics Championships, Oregon 2022",Oregon,USA,15 JUL 2022 - 24 JUL 2022,15 JUL 2022,24 JUL 2022,2022,7137279
"IAAF World Athletics Championships, DOHA 2019",Doha,QAT,27 SEP 2019 - 06 OCT 2019,27 SEP 2019,06 OCT 2019,2019,7125365
IAAF World Championships London 2017,London (Olympic Stadium),GBR,04 AUG 2017 - 13 AUG 2017,04 AUG 2017,13 AUG 2017,2017,7093740
15th IAAF World Championships,Beijing (National Stadium),CHN,22 AUG 2015 - 30 AUG 2015,22 AUG 2015,30 AUG 2015,2015,7078726
14th IAAF World Championships,Moskva (Luzhniki),RUS,10 AUG 2013 - 18 AUG 2013,10 AUG 2013,18 AUG 2013,2013,7003368
13th IAAF World Championships in Athletics,Daegu (DS),KOR,27 AUG 2011 - 04 SEP 2011,27 AUG 2011,04 SEP 2011,2011,7003367
12th IAAF World Championships in Athletics,Berlin (Olympiastadion),GER,15 AUG 2009 - 23 AUG 2009,15 AUG 2009,23 AUG 2009,2009,6998524
11th IAAF World Championships in Athletics,Osaka (Nagai Stadium),JPN,25 AUG 2007 - 02 SEP 2007,25 AUG 2007,02 SEP 2007,2007,6903480
10th IAAF World Championships in Athletics,Helsinki (Olympic Stadium),FIN,06 AUG 2005 - 14 AUG 2005,06 AUG 2005,14 AUG 2005,2005,6937596
9th IAAF World Championships in Athletics,Paris Saint-Denis (Stade de France),FRA,23 AUG 2003 - 31 AUG 2003,23 AUG 2003,31 AUG 2003,2003,6930156
8th IAAF World Championships,Edmonton (Commonwealth Stadium),CAN,03 AUG 2001 - 12 AUG 2001,03 AUG 2001,12 AUG 2001,2001,6947294
7th IAAF World Championships in Athletics,Sevilla (La Cartuja),ESP,21 AUG 1999 - 29 AUG 1999,21 AUG 1999,29 AUG 1999,1999,6939522
6th IAAF World Championships In Athletics,Athína (Olympic Stadium),GRE,01 AUG 1997 - 10 AUG 1997,01 AUG 1997,10 AUG 1997,1997,6913256
5th IAAF World Championships in Athletics,Göteborg (Ullevi Stadium),SWE,05 AUG 1995 - 13 AUG 1995,05 AUG 1995,13 AUG 1995,1995,6997728
4th IAAF World Championships in Athletics,Stuttgart (Gottlieb-Daimler Stadion),GER,13 AUG 1993 - 22 AUG 1993,13 AUG 1993,22 AUG 1993,1993,6993598
3rd IAAF World Championships in Athletics,Tokyo (Olympic Stadium),JPN,23 AUG 1991 - 01 SEP 1991,23 AUG 1991,01 SEP 1991,1991,6987209
2nd IAAF World Championships in Athletics,Roma (Stadio Olimpico),ITA,28 AUG 1987 - 06 SEP 1987,28 AUG 1987,06 SEP 1987,1987,6986221
1st IAAF World Championships in Athletics,Helsinki (Olympic Stadium),FIN,07 AUG 1983 - 14 AUG 1983,07 AUG 1983,14 AUG 1983,1983,6988504
The XXXIII Olympic Games,Paris,FRA,01 AUG 2024 - 11 AUG 2024,01 AUG 2024,11 AUG 2024,2024,7153115
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",JPN,30 JUL 2021 - 08 AUG 2021,30 JUL 2021,08 AUG 2021,2021,7132391
The XXXI Olympic Games,Rio de Janeiro (Estádio Olímpico),BRA,05 AUG 2016 - 21 AUG 2016,05 AUG 2016,21 AUG 2016,2016,7093747
The XXX Olympic Games,London (Olympic Stadium),GBR,27 JUL 2012 - 12 AUG 2012,27 JUL 2012,12 AUG 2012,2012,6999193
The XXIX Olympic Games,Beijing (National Stadium),CHN,08 AUG 2008 - 24 AUG 2008,08 AUG 2008,24 AUG 2008,2008,6977748
28th Olympic Games,Athína (Olympic Stadium),GRE,20 AUG 2004 - 29 AUG 2004,20 AUG 2004,29 AUG 2004,2004,6913163
27th Olympic Games,Sydney (Olympic Stadium),AUS,22 SEP 2000 - 01 OCT 2000,22 SEP 2000,01 OCT 2000,2000,6951910
